Gender,SeniorCitizen,Partner,Dependents,Tenure_Months,PhoneService,InternetService,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,StreamingTV,StreamingMovies,TechSupport,OnlineSecurity,OnlineBackup,DeviceProtection,MultipleLines
Male,1,Yes,Yes,13,Yes,DSL,114.76,1462.66,Month-to-month,Electronic check,Yes,Yes,No,No,No,No,Yes,Yes
Male,1,Yes,No,37,Yes,DSL,90.3,3336.5,Two year,Mailed check,Yes,No,Yes,Yes,Yes,Yes,No,No
Female,1,No,No,16,Yes,DSL,66.87,1050.33,Two year,Electronic check,No,No,No,Yes,Yes,Yes,Yes,No
Female,0,No,No,23,Yes,DSL,67.05,1557.3,One year,Bank transfer,No,No,No,Yes,Yes,No,No,No
Female,0,No,No,52,Yes,Fiber optic,101.36,5275.73,Month-to-month,Credit card,Yes,No,No,Yes,Yes,No,No,No
Female,1,No,Yes,27,Yes,DSL,46.71,1224.27,Two year,Mailed check,Yes,No,Yes,No,Yes,Yes,Yes,No
Female,1,No,No,20,Yes,DSL,69.84,1418.46,One year,Mailed check,No,Yes,Yes,Yes,No,No,No,No
Female,0,No,No,37,Yes,Fiber optic,92.61,3460.32,One year,Credit card,No,No,Yes,Yes,No,Yes,No,Yes
Female,0,No,Yes,61,Yes,DSL,90.52,5552.86,Two year,Bank transfer,Yes,No,Yes,No,Yes,Yes,No,Yes
Female,0,No,No,61,Yes,Fiber optic,98.15,5963.65,Two year,Credit card,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Male,0,No,Yes,57,Yes,Fiber optic,36.64,2068.43,One year,Bank transfer,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Male,1,No,No,31,Yes,Fiber optic,69.77,2171.19,Two year,Electronic check,No,No,Yes,Yes,No,No,No,No
Female,1,Yes,Yes,59,Yes,Fiber optic,104.53,6137.19,Two year,Bank transfer,No,No,Yes,No,No,Yes,Yes,No
Male,1,Yes,Yes,30,Yes,No,80.71,2406.53,Two year,Electronic check,No,No,Yes,No,Yes,Yes,No,No
Female,1,Yes,No,23,Yes,Fiber optic,40.08,950.49,One year,Bank transfer,Yes,No,Yes,Yes,Yes,No,No,Yes
Female,1,No,No,2,Yes,DSL,46.45,55.26,Two year,Mailed check,No,Yes,No,Yes,Yes,No,No,No
Female,0,Yes,Yes,18,Yes,No,24.53,395.26,Month-to-month,Credit card,No,No,No,Yes,No,Yes,No,No
Female,0,No,Yes,5,Yes,No,89.03,416.88,One year,Bank transfer,Yes,No,No,Yes,Yes,No,Yes,Yes
Male,0,Yes,Yes,7,Yes,No,98.68,665.12,Month-to-month,Mailed check,No,Yes,Yes,No,Yes,Yes,No,Yes
Male,1,Yes,Yes,4,Yes,Fiber optic,33.18,118.54,Month-to-month,Mailed check,No,Yes,Yes,No,No,No,Yes,No
Female,1,Yes,Yes,6,Yes,Fiber optic,92.72,597.2,One year,Credit card,Yes,No,No,Yes,Yes,No,Yes,Yes
Female,1,No,No,36,Yes,No,82.43,2976.02,Two year,Credit card,Yes,Yes,Yes,No,No,Yes,No,No
Female,1,No,No,52,Yes,DSL,61.6,3162.71,Two year,Credit card,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Female,1,No,Yes,72,Yes,Fiber optic,76.17,5501.24,Two year,Bank transfer,No,Yes,Yes,Yes,No,Yes,Yes,No
Female,0,No,Yes,15,Yes,DSL,96.26,1451.31,One year,Bank transfer,No,No,Yes,Yes,Yes,No,Yes,Yes
Female,1,No,Yes,12,Yes,Fiber optic,94.61,1106.83,One year,Bank transfer,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Male,0,No,No,63,Yes,DSL,80.71,5076.15,One year,Credit card,No,Yes,Yes,No,Yes,Yes,Yes,No
Male,0,No,No,18,Yes,DSL,96.42,1714.5,Month-to-month,Credit card,Yes,No,Yes,No,Yes,No,Yes,No
Female,1,Yes,No,41,Yes,DSL,77.58,3188.12,One year,Mailed check,No,No,Yes,No,Yes,Yes,No,No
Male,1,Yes,Yes,51,Yes,No,107.05,5484.13,Two year,Electronic check,Yes,No,No,Yes,Yes,Yes,Yes,No
Male,0,No,No,23,Yes,No,80.24,1871.54,Two year,Credit card,No,No,Yes,No,Yes,No,No,No
Female,1,Yes,Yes,8,Yes,Fiber optic,55.19,398.94,One year,Electronic check,Yes,No,No,Yes,No,Yes,No,No
Female,0,Yes,Yes,8,Yes,DSL,65.05,551.5,Two year,Credit card,No,Yes,No,No,No,No,No,No
Female,1,No,Yes,43,Yes,Fiber optic,26.59,1102.82,Month-to-month,Mailed check,No,No,No,Yes,Yes,No,No,No
Female,0,No,No,68,Yes,DSL,29.35,2012.85,Month-to-month,Bank transfer,No,Yes,Yes,Yes,Yes,Yes,No,Yes
Female,0,Yes,Yes,44,Yes,No,107.64,4747.96,Two year,Mailed check,No,Yes,No,No,Yes,No,No,No
Female,0,No,No,69,Yes,Fiber optic,43.92,3077.04,One year,Credit card,No,Yes,Yes,Yes,No,Yes,No,No
Male,1,No,Yes,67,Yes,Fiber optic,105.12,7021.55,Month-to-month,Mailed check,No,No,Yes,No,Yes,No,No,Yes
Male,1,Yes,Yes,11,Yes,DSL,57.49,585.21,One year,Credit card,Yes,No,No,Yes,Yes,Yes,No,Yes
Female,0,No,Yes,71,Yes,Fiber optic,114.02,8106.31,Month-to-month,Electronic check,Yes,No,No,Yes,Yes,No,Yes,Yes
Male,1,Yes,Yes,38,Yes,No,62.92,2402.44,One year,Electronic check,Yes,No,No,Yes,No,No,No,Yes
Male,1,Yes,Yes,9,Yes,Fiber optic,54.48,513.61,Two year,Bank transfer,Yes,No,No,Yes,Yes,Yes,No,Yes
Male,1,No,No,26,Yes,No,24.38,603.83,One year,Bank transfer,Yes,Yes,No,No,Yes,No,No,Yes
Female,1,Yes,No,56,Yes,No,108.95,6125.53,One year,Bank transfer,No,Yes,No,Yes,No,Yes,No,No
Female,1,Yes,No,11,Yes,Fiber optic,52.79,560.25,One year,Electronic check,No,No,No,Yes,Yes,No,No,Yes
Female,0,Yes,Yes,19,Yes,DSL,104.87,2010.34,Two year,Bank transfer,No,No,Yes,Yes,No,No,No,No
Female,0,Yes,Yes,18,Yes,No,72.95,1302.9,Month-to-month,Credit card,No,Yes,No,No,No,Yes,No,No
Male,1,Yes,No,16,Yes,No,33.57,494.53,One year,Electronic check,No,No,Yes,Yes,No,Yes,Yes,Yes
Female,1,Yes,Yes,31,Yes,DSL,99.04,3022.87,One year,Credit card,No,No,No,Yes,Yes,No,Yes,No
Male,0,No,Yes,67,Yes,DSL,54.45,3685.95,Two year,Mailed check,No,Yes,Yes,No,Yes,No,No,Yes
Male,1,Yes,Yes,26,Yes,No,83.51,2176.34,Two year,Mailed check,Yes,No,Yes,Yes,Yes,Yes,No,Yes
Female,1,No,Yes,4,Yes,No,69.8,291.92,One year,Bank transfer,No,Yes,Yes,Yes,No,No,No,No
Female,1,No,Yes,44,Yes,Fiber optic,80.67,3530.74,Two year,Electronic check,No,Yes,No,Yes,No,No,Yes,Yes
Female,0,Yes,No,7,Yes,No,49.02,331.55,Two year,Bank transfer,Yes,Yes,No,No,No,No,No,Yes
Male,1,Yes,Yes,51,Yes,Fiber optic,70.54,3644.21,One year,Credit card,No,Yes,Yes,No,Yes,No,No,No
Male,1,No,Yes,6,Yes,Fiber optic,60.06,367.39,Two year,Credit card,No,Yes,Yes,Yes,No,No,No,No
Male,0,Yes,Yes,26,Yes,No,80.25,2076.64,One year,Credit card,No,Yes,Yes,No,No,Yes,No,No
Female,1,Yes,No,65,Yes,Fiber optic,102.83,6687.18,Two year,Electronic check,No,No,Yes,No,No,Yes,Yes,No
Female,0,Yes,Yes,68,Yes,No,82.9,5649.17,Two year,Electronic check,Yes,Yes,No,No,No,Yes,No,Yes
Male,0,Yes,No,65,Yes,No,97.5,6379.55,One year,Credit card,No,Yes,No,No,No,No,No,Yes
Female,1,Yes,No,36,Yes,Fiber optic,75.81,2701.65,One year,Bank transfer,No,No,Yes,No,No,No,Yes,No
Female,1,No,Yes,37,Yes,DSL,115.53,4232.51,Two year,Bank transfer,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Male,0,Yes,Yes,13,Yes,Fiber optic,61.33,819.03,Two year,Credit card,No,Yes,No,No,No,Yes,Yes,Yes
Male,1,No,Yes,23,Yes,No,61.79,1454.93,One year,Electronic check,Yes,No,Yes,No,No,No,No,Yes
Male,1,No,Yes,35,Yes,DSL,39.28,1336.06,Two year,Bank transfer,No,Yes,Yes,No,No,No,Yes,No
Male,0,No,No,24,Yes,DSL,118.17,2833.83,One year,Bank transfer,No,No,Yes,No,No,Yes,Yes,Yes
Female,0,No,No,40,Yes,No,35.97,1457.41,Month-to-month,Mailed check,Yes,No,Yes,No,No,No,No,Yes
Female,0,Yes,Yes,11,Yes,No,72.55,800.87,Two year,Mailed check,Yes,Yes,No,No,Yes,Yes,No,Yes
Female,0,No,No,8,Yes,No,65.34,524.04,Month-to-month,Credit card,No,Yes,Yes,Yes,Yes,No,No,Yes
Female,1,Yes,Yes,9,Yes,No,118.61,1064.7,Two year,Credit card,No,No,No,No,No,Yes,Yes,No
Male,0,Yes,Yes,23,Yes,Fiber optic,119.28,2732.75,One year,Credit card,No,Yes,Yes,No,No,Yes,No,Yes
Male,0,Yes,Yes,5,Yes,DSL,100.95,496.67,Two year,Electronic check,No,Yes,Yes,Yes,No,No,Yes,Yes
Female,1,Yes,No,18,Yes,DSL,70.39,1245.95,Two year,Mailed check,No,No,No,Yes,Yes,No,No,Yes
Female,1,Yes,No,49,Yes,Fiber optic,98.58,4812.29,Month-to-month,Credit card,Yes,Yes,No,Yes,No,Yes,No,No
Male,1,No,Yes,50,Yes,No,44.29,2184.83,Two year,Mailed check,Yes,No,No,Yes,Yes,Yes,Yes,No
Male,0,Yes,No,43,Yes,DSL,50.32,2204.66,Two year,Mailed check,No,Yes,No,No,No,No,No,No
Male,1,No,Yes,47,Yes,Fiber optic,71.28,3349.89,One year,Credit card,Yes,Yes,Yes,Yes,No,No,No,Yes
Male,1,No,No,43,Yes,Fiber optic,43.0,1855.98,Two year,Credit card,No,Yes,No,Yes,Yes,No,Yes,Yes
Male,1,Yes,Yes,10,Yes,DSL,114.52,1162.02,Two year,Mailed check,Yes,Yes,No,No,Yes,No,No,Yes
Female,1,Yes,No,69,Yes,DSL,75.16,5137.23,Month-to-month,Electronic check,Yes,Yes,Yes,No,No,No,No,Yes
Male,1,Yes,Yes,52,Yes,DSL,65.9,3401.12,One year,Credit card,No,No,Yes,Yes,Yes,Yes,No,No
Male,0,No,No,13,Yes,DSL,109.48,1465.16,Month-to-month,Bank transfer,Yes,Yes,No,Yes,Yes,Yes,No,Yes
Female,1,No,Yes,21,Yes,No,76.4,1611.07,Two year,Electronic check,No,Yes,Yes,No,Yes,Yes,No,No
Female,1,Yes,No,4,Yes,No,83.41,361.99,One year,Credit card,Yes,No,Yes,No,Yes,Yes,Yes,No
Female,1,No,Yes,49,Yes,DSL,91.17,4480.72,Month-to-month,Bank transfer,No,No,No,Yes,Yes,Yes,Yes,No
Male,0,No,Yes,72,Yes,No,75.47,5424.64,Two year,Bank transfer,No,Yes,No,No,No,Yes,Yes,Yes
Female,0,Yes,Yes,22,Yes,Fiber optic,33.88,725.47,One year,Credit card,No,No,Yes,No,No,Yes,No,Yes
Female,1,No,No,14,Yes,Fiber optic,33.55,420.38,One year,Credit card,Yes,No,No,Yes,No,No,Yes,No
Male,1,No,No,38,Yes,Fiber optic,93.49,3565.91,One year,Electronic check,Yes,Yes,Yes,No,Yes,No,No,Yes
Female,0,No,No,64,Yes,DSL,33.92,2151.16,One year,Credit card,No,No,Yes,No,Yes,Yes,Yes,No
Female,1,No,Yes,6,Yes,DSL,76.32,472.42,Month-to-month,Bank transfer,Yes,Yes,No,No,No,No,Yes,No
Male,0,Yes,No,62,Yes,Fiber optic,30.45,1879.5,One year,Credit card,Yes,No,No,No,Yes,No,No,No
Male,1,Yes,Yes,39,Yes,No,24.47,975.41,Month-to-month,Mailed check,Yes,No,No,No,Yes,No,Yes,Yes
Male,1,No,No,51,Yes,DSL,22.92,1180.33,Two year,Mailed check,Yes,No,Yes,Yes,Yes,No,No,Yes
Female,1,No,Yes,15,Yes,Fiber optic,46.24,729.86,One year,Credit card,Yes,No,Yes,Yes,No,Yes,Yes,No
Female,1,Yes,No,24,Yes,Fiber optic,57.33,1340.06,Month-to-month,Credit card,Yes,Yes,No,No,Yes,Yes,No,No
Male,1,No,No,46,Yes,No,115.18,5296.74,One year,Credit card,No,No,Yes,Yes,Yes,Yes,No,Yes
Female,1,Yes,Yes,29,Yes,Fiber optic,73.76,2105.86,Two year,Bank transfer,Yes,No,Yes,No,Yes,Yes,No,Yes
Female,0,Yes,Yes,34,Yes,No,54.86,1896.91,Two year,Bank transfer,No,Yes,Yes,Yes,Yes,Yes,No,No
Female,0,Yes,No,42,Yes,DSL,117.9,4931.06,One year,Mailed check,Yes,Yes,Yes,No,Yes,No,No,Yes
Male,1,No,No,54,Yes,Fiber optic,57.52,3063.63,One year,Bank transfer,Yes,Yes,No,No,Yes,No,Yes,No
Female,0,No,No,64,Yes,No,46.85,3031.23,Month-to-month,Electronic check,Yes,No,Yes,Yes,Yes,No,No,Yes
Female,0,No,Yes,26,Yes,No,119.57,3149.76,One year,Bank transfer,Yes,No,Yes,Yes,No,No,Yes,No
Male,0,No,Yes,13,Yes,DSL,20.11,259.11,Two year,Bank transfer,Yes,No,Yes,No,Yes,Yes,No,Yes
Male,1,Yes,Yes,14,Yes,DSL,51.34,756.86,Two year,Electronic check,Yes,No,No,Yes,Yes,No,No,Yes
Female,1,No,No,13,Yes,DSL,34.0,404.32,Month-to-month,Bank transfer,Yes,Yes,No,Yes,No,Yes,Yes,No
Male,1,No,Yes,7,Yes,DSL,98.38,718.04,One year,Electronic check,Yes,No,No,Yes,No,No,No,Yes
Female,0,Yes,Yes,10,Yes,Fiber optic,21.67,173.45,Two year,Bank transfer,No,No,No,Yes,Yes,No,Yes,No
Male,1,No,Yes,66,Yes,Fiber optic,112.09,7445.37,Two year,Credit card,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Male,0,No,No,23,Yes,No,31.94,755.41,Two year,Bank transfer,Yes,No,Yes,No,Yes,Yes,No,No
Male,1,No,No,68,Yes,DSL,26.39,1815.75,One year,Mailed check,No,Yes,No,Yes,Yes,Yes,Yes,Yes
Male,0,Yes,No,32,Yes,DSL,24.6,773.6,One year,Mailed check,No,No,No,Yes,No,Yes,Yes,Yes
Male,1,No,No,67,Yes,Fiber optic,118.14,7960.79,Month-to-month,Credit card,Yes,No,Yes,No,No,Yes,No,No
Male,0,Yes,No,26,Yes,DSL,93.25,2429.16,Month-to-month,Bank transfer,Yes,No,Yes,No,No,Yes,Yes,Yes
Male,1,Yes,Yes,63,Yes,DSL,116.12,7362.82,Two year,Credit card,No,No,Yes,Yes,Yes,No,Yes,Yes
Female,1,No,No,17,Yes,Fiber optic,43.68,718.66,One year,Mailed check,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Male,1,No,No,41,Yes,Fiber optic,60.65,2490.24,Month-to-month,Electronic check,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Female,0,Yes,No,51,Yes,Fiber optic,71.35,3656.57,Two year,Mailed check,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Male,1,Yes,Yes,26,Yes,DSL,102.37,2648.84,Month-to-month,Credit card,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Female,0,No,Yes,51,Yes,DSL,69.61,3538.38,One year,Bank transfer,No,Yes,Yes,Yes,No,No,No,No
Male,0,Yes,No,12,Yes,No,47.98,539.48,One year,Credit card,No,No,No,No,No,Yes,Yes,No
Male,1,No,Yes,4,Yes,DSL,109.58,466.17,Month-to-month,Mailed check,Yes,No,Yes,Yes,No,No,Yes,Yes
Male,1,Yes,Yes,41,Yes,Fiber optic,100.62,4145.18,Two year,Bank transfer,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Male,1,Yes,No,1,Yes,DSL,53.17,64.58,Month-to-month,Mailed check,Yes,Yes,No,Yes,No,No,Yes,No
Female,1,No,Yes,42,Yes,No,33.65,1379.05,Two year,Bank transfer,Yes,Yes,No,No,No,Yes,Yes,Yes
Male,0,No,Yes,5,Yes,Fiber optic,38.21,172.87,Two year,Electronic check,Yes,No,No,Yes,Yes,No,No,Yes
Female,0,Yes,Yes,27,Yes,Fiber optic,44.95,1170.43,One year,Credit card,Yes,No,No,No,No,No,Yes,No
Male,1,Yes,No,21,Yes,Fiber optic,65.13,1397.65,Month-to-month,Electronic check,No,Yes,No,Yes,Yes,Yes,No,No
Female,0,Yes,Yes,56,Yes,Fiber optic,114.24,6363.94,Month-to-month,Mailed check,No,No,No,No,Yes,Yes,Yes,No
Male,1,No,Yes,20,Yes,DSL,25.45,459.38,Month-to-month,Mailed check,Yes,No,Yes,No,Yes,No,No,No
Male,1,No,No,34,Yes,DSL,29.11,994.15,One year,Electronic check,No,No,No,No,Yes,No,Yes,Yes
Female,0,Yes,No,11,Yes,No,86.81,985.73,One year,Credit card,Yes,No,No,Yes,No,Yes,Yes,Yes
Male,0,Yes,Yes,23,Yes,Fiber optic,114.91,2609.65,Month-to-month,Credit card,Yes,Yes,No,No,Yes,Yes,No,No
Male,1,Yes,No,36,Yes,DSL,71.97,2632.64,Month-to-month,Electronic check,Yes,Yes,No,No,No,No,No,No
Female,0,No,No,5,Yes,No,37.22,176.4,Month-to-month,Electronic check,No,No,No,Yes,No,No,No,No
Female,1,No,No,13,Yes,No,117.25,1497.05,One year,Electronic check,Yes,No,Yes,No,No,No,Yes,Yes
Male,0,Yes,Yes,40,Yes,DSL,90.96,3628.74,Month-to-month,Electronic check,No,Yes,No,Yes,No,No,No,No
Female,0,No,No,4,Yes,Fiber optic,44.19,175.64,Month-to-month,Bank transfer,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Male,0,No,Yes,27,Yes,No,46.91,1257.52,Month-to-month,Electronic check,Yes,No,No,No,No,No,No,No
Female,0,Yes,No,28,Yes,No,66.67,1884.48,Two year,Bank transfer,No,Yes,No,Yes,No,No,No,No
Male,0,No,No,39,Yes,No,38.84,1516.49,Month-to-month,Electronic check,No,No,No,No,No,No,Yes,Yes
Female,1,No,Yes,29,Yes,No,88.63,2584.1,Two year,Mailed check,No,Yes,No,Yes,No,Yes,No,Yes
Female,1,No,No,46,Yes,No,42.33,1984.32,One year,Credit card,Yes,No,Yes,Yes,No,Yes,Yes,No
Male,0,No,No,53,Yes,No,25.41,1382.15,One year,Mailed check,No,Yes,Yes,No,No,Yes,No,Yes
Male,0,No,Yes,58,Yes,DSL,47.35,2772.42,Two year,Credit card,No,No,No,No,No,Yes,Yes,Yes
Male,0,Yes,Yes,2,Yes,DSL,109.2,244.08,Two year,Bank transfer,No,Yes,Yes,No,No,Yes,Yes,Yes
Female,1,Yes,No,38,Yes,Fiber optic,65.59,2494.45,One year,Mailed check,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Male,1,No,Yes,16,Yes,No,56.66,921.61,Month-to-month,Electronic check,Yes,Yes,Yes,No,No,No,Yes,No
Male,1,No,Yes,20,Yes,No,40.55,829.57,Two year,Bank transfer,Yes,No,Yes,Yes,No,Yes,Yes,No
Male,1,No,No,26,Yes,DSL,97.8,2575.95,Month-to-month,Credit card,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Male,0,No,Yes,20,Yes,Fiber optic,114.94,2326.75,One year,Bank transfer,No,Yes,Yes,Yes,Yes,No,No,No
Male,0,Yes,Yes,15,Yes,Fiber optic,29.5,468.32,One year,Credit card,No,Yes,No,No,Yes,Yes,No,No
Female,1,Yes,Yes,35,Yes,DSL,103.57,3643.94,Two year,Electronic check,Yes,Yes,No,No,No,Yes,No,No
Female,1,Yes,Yes,17,Yes,Fiber optic,68.31,1160.08,Two year,Bank transfer,Yes,Yes,No,Yes,No,Yes,No,No
Male,0,Yes,No,20,Yes,Fiber optic,103.9,2083.83,Month-to-month,Electronic check,No,No,Yes,No,No,Yes,Yes,No
Female,0,No,No,31,Yes,Fiber optic,27.88,858.7,Month-to-month,Credit card,Yes,Yes,No,No,Yes,Yes,Yes,No
Male,0,No,No,59,Yes,No,115.04,6773.69,Two year,Credit card,No,No,Yes,Yes,Yes,Yes,No,No
Male,0,No,Yes,71,Yes,No,72.2,5146.41,Two year,Credit card,Yes,No,Yes,Yes,Yes,No,Yes,No
Male,1,No,Yes,44,Yes,Fiber optic,30.78,1345.77,Month-to-month,Electronic check,No,No,Yes,Yes,Yes,Yes,No,No
Male,1,No,No,54,Yes,Fiber optic,117.95,6410.89,One year,Mailed check,Yes,No,No,No,Yes,Yes,Yes,No
Male,1,Yes,No,17,Yes,No,118.13,2023.22,One year,Credit card,No,No,Yes,Yes,Yes,No,Yes,Yes
Female,1,Yes,Yes,26,Yes,No,46.7,1242.75,One year,Mailed check,Yes,No,No,Yes,Yes,No,Yes,No
Female,0,Yes,No,49,Yes,DSL,58.76,2924.91,Two year,Credit card,Yes,No,Yes,Yes,No,No,Yes,Yes
Male,1,No,No,23,Yes,DSL,93.51,2112.67,Month-to-month,Bank transfer,Yes,No,No,Yes,Yes,Yes,No,Yes
Male,1,Yes,Yes,63,Yes,No,98.99,6241.39,Month-to-month,Mailed check,No,No,Yes,No,Yes,Yes,No,No
Female,0,Yes,No,38,Yes,Fiber optic,41.84,1615.19,Month-to-month,Mailed check,Yes,No,No,Yes,No,No,No,Yes
Male,1,Yes,No,66,Yes,No,100.28,6613.04,Month-to-month,Electronic check,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Female,1,Yes,Yes,10,Yes,DSL,94.69,912.28,Month-to-month,Mailed check,No,Yes,Yes,No,No,No,No,No
Male,0,Yes,Yes,41,Yes,Fiber optic,21.69,906.62,Two year,Electronic check,No,No,Yes,No,No,No,No,Yes
Female,1,Yes,No,21,Yes,No,73.35,1503.99,Two year,Bank transfer,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Male,0,Yes,Yes,45,Yes,No,41.17,1893.21,One year,Mailed check,Yes,Yes,Yes,No,Yes,No,Yes,No
Female,1,Yes,Yes,26,Yes,DSL,92.56,2405.28,One year,Electronic check,Yes,No,No,No,No,No,Yes,No
Male,1,No,No,55,Yes,DSL,36.86,2008.62,Two year,Bank transfer,No,No,No,No,No,No,Yes,Yes
Male,1,Yes,Yes,36,Yes,DSL,105.87,3775.32,Two year,Electronic check,No,Yes,Yes,No,No,Yes,No,No
Male,1,No,Yes,38,Yes,No,33.39,1268.93,Month-to-month,Mailed check,Yes,No,Yes,Yes,Yes,No,No,Yes
